N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
206,TIGER 미국S&P500,"14,145",105,-0.74%,0,"12,030","85,050",0.00,"946,298",N/A,N/A,
207,TIGER 2차전지테마,"21,570",640,-2.88%,0,"12,014","55,700",0.59,"862,195",N/A,N/A,
208,SK가스,"129,500","1,000",-0.77%,"5,000","11,953","9,230",6.07,"12,330",4.82,14.91,
209,롯데관광개발,"17,250",500,-2.82%,500,"11,950","69,276",6.76,"273,604",-6.04,-30.43,
210,종근당,"103,000","1,000",-0.96%,"2,500","11,769","11,426",7.55,"25,309",23.60,17.88,
211,KG동부제철,"11,750",150,+1.29%,"5,000","11,751","100,009",1.80,"409,085",6.83,7.18,
212,LG생활건강우,"559,000","52,000",-8.51%,"5,000","11,737","2,100",84.23,"12,905",11.63,N/A,
213,지누스,"74,000",300,-0.40%,500,"11,692","15,800",21.20,"29,797",32.60,11.61,
214,프레스티지바이오파마,"19,400",550,-2.76%,0,"11,659","60,096",62.33,"112,233",-136.62,-1.78,
215,효성화학,"365,000",0,0.00%,"5,000","11,644","3,190",7.94,"44,469",12.05,-2.71,
216,TIGER TOP10,"13,170",130,-0.98%,0,"11,524","87,500",0.25,"239,481",N/A,N/A,
217,KODEX 단기채권PLUS,"103,460",5,0.00%,0,"11,425","11,043",0.00,"710,708",N/A,N/A,
218,KODEX 인버스,"4,075",35,+0.87%,0,"11,414","280,100",0.75,"23,326,646",N/A,N/A,
219,대덕전자,"23,050",350,-1.50%,500,"11,391","49,417",13.04,"639,076",36.76,N/A,
220,코리안리,"9,430",40,+0.43%,500,"11,351","120,369",30.49,"272,827",7.23,5.78,
221,솔루엠,"22,500",850,-3.64%,500,"11,251","50,006",8.69,"313,270",41.90,43.26,
222,KBSTAR 200,"39,290",280,-0.71%,0,"11,217","28,550",0.01,"317,133",N/A,N/A,
223,티와이홀딩스,"27,550",200,-0.72%,500,"11,067","40,172",6.06,"35,632",2.37,N/A,
224,동양생명,"6,850",210,+3.16%,"5,000","11,053","161,359",82.55,"334,329",4.09,4.52,
225,LG전자우,"63,300","1,100",-1.71%,"5,000","10,879","17,186",40.67,"50,922",9.13,N/A,
226,미원에스씨,"212,500","1,500",-0.70%,500,"10,838","5,100",0.99,"2,888",15.86,13.58,
227,제이콘텐트리,"57,300","3,000",-4.98%,"5,000","10,484","18,298",1.93,"398,515",-6.35,-52.61,
228,한올바이오파마,"19,850",250,-1.24%,500,"10,370","52,241",5.79,"141,050",64.24,12.29,
229,이노션,"51,800",700,-1.33%,500,"10,360","20,000",31.61,"35,661",13.92,8.28,
230,KCC글라스,"64,700","1,300",-1.97%,"1,000","10,333","15,971",9.92,"114,880",4.88,N/A,
231,화승엔터프라이즈,"16,950",400,+2.42%,500,"10,267","60,571",4.01,"222,451",48.85,9.26,
232,TIGER 미국필라델피아반도체나스닥,"12,365",330,-2.60%,0,"10,232","82,750",0.15,"2,523,238",N/A,N/A,
233,넥스트사이언스,"24,300","2,200",+9.95%,500,"10,222","42,066",10.10,"2,497,245",-29.31,-41.41,
234,다우기술,"22,750",550,-2.36%,500,"10,207","44,867",22.15,"94,618",2.92,18.85,
235,하나투어,"73,000","1,800",-2.41%,500,"10,176","13,939",6.35,"56,363",-10.87,-108.93,
236,더블유게임즈,"55,100",500,-0.90%,500,"10,124","18,375",9.93,"76,955",7.96,16.94,
237,LX인터내셔널,"25,700",400,-1.53%,"5,000","9,961","38,760",23.60,"166,789",3.71,23.72,
238,미원상사,"200,000","3,000",-1.48%,500,"9,940","4,970",4.24,"5,216",15.66,21.07,
239,CJ CGV,"24,150",250,-1.02%,500,"9,855","40,806",4.25,"109,945",-1.49,-314.44,
240,세방전지,"69,900","1,500",-2.10%,500,"9,786","14,000",26.45,"44,955",13.24,6.14,
241,오리온홀딩스,"15,600",200,+1.30%,500,"9,773","62,645",5.18,"54,325",12.47,3.98,
242,KODEX 200TR,"12,850",100,-0.77%,0,"9,772","76,050",0.02,"44,451",N/A,N/A,
243,유니드,"109,000","3,000",-2.68%,"5,000","9,690","8,890",14.00,"69,108",5.14,10.29,
244,보령제약,"13,950",200,-1.41%,500,"9,582","68,690",6.92,"144,650",21.56,8.62,
245,신세계인터내셔날,"133,000","7,500",-5.34%,"5,000","9,496","7,140",5.29,"76,552",12.32,8.24,
246,휴켐스,"23,200",0,0.00%,"1,000","9,484","40,879",4.72,"182,891",14.47,7.51,
247,SK리츠,"6,110",80,-1.29%,500,"9,472","155,021",0.12,"249,760",117.50,N/A,
248,영진약품,"5,120",70,+1.39%,500,"9,364","182,893",3.40,"466,221",-76.42,-0.12,
249,한세실업,"23,350",100,+0.43%,500,"9,340","40,000",6.33,"353,909",15.82,10.97,
250,부산가스,"84,400",0,0.00%,"5,000","9,284","11,000",0.91,0,26.88,23.35,
251,코스맥스,"81,600","5,100",-5.88%,500,"9,261","11,350",24.25,"190,221",17.31,6.23,
252,엠씨넥스,"51,300",900,-1.72%,500,"9,220","17,973",9.43,"278,911",48.63,16.10,
253,현대건설기계,"46,250","1,750",+3.93%,"5,000","9,112","19,701",20.69,"376,656",7.78,-0.80,
254,대신증권,"17,900",50,+0.28%,"5,000","9,088","50,773",15.11,"69,547",2.44,7.35,
255,TIGER 200 IT,"35,935",885,-2.40%,0,"9,041","25,160",0.06,"196,470",N/A,N/A,
256,풍산,"32,250",200,-0.62%,"5,000","9,038","28,024",12.84,"78,957",4.08,5.09,
